iter	Passed	Remaining
175	299	1399
176	299	1393
177	300	1388
178	301	1383
179	302	1378
180	303	1372
181	304	1367
182	305	1361
183	305	1356
184	306	1350
185	307	1344
186	307	1338
187	308	1333
188	309	1327
189	310	1321
190	310	1316
191	311	1310
192	312	1304
193	312	1298
194	313	1293
195	314	1288
196	314	1282
197	315	1279
198	316	1275
199	317	1270
200	318	1266
201	319	1261
202	320	1256
203	321	1253
204	322	1249
205	323	1245
206	323	1240
207	324	1236
208	325	1231
209	326	1226
210	326	1222
211	327	1217
212	328	1212
213	329	1208
214	329	1203
215	330	1200
216	331	1197
217	332	1192
218	333	1188
219	334	1184
220	335	1180
221	335	1177
222	336	1173
223	337	1169
224	338	1165
225	339	1163
226	340	1160
227	341	1156
228	342	1151
229	342	1147
230	343	1143
231	344	1139
232	345	1135
233	346	1134
234	347	1130
235	348	1127
236	349	1124
237	349	1120
238	350	1116
239	351	1112
240	352	1108
241	353	1105
242	354	1102
243	354	1099
244	355	1096
245	356	1092
246	357	1089
247	357	1085
248	358	1081
249	359	1077
250	359	1073
251	361	1072
252	362	1071
253	364	1069
254	365	1067
255	366	1065
256	367	1062
257	368	1060
258	369	1058
259	370	1054
260	371	1051
261	372	1049
262	373	1046
263	374	1043
264	374	1039
265	376	1037
266	377	1035
267	378	1032
268	378	1029
269	379	1026
270	380	1022
271	381	1019
272	381	1016
273	382	1014
274	383	1011
275	384	1008
276	385	1005
277	386	1003
278	387	1000
279	387	996
280	388	993
281	389	990
282	389	987
283	390	984
284	391	983
285	392	980
286	393	977
287	394	974
288	395	971
289	395	969
290	396	966
291	397	963
292	398	961
293	399	958
294	400	956
295	400	953
296	401	950
297	402	947
298	403	945
299	403	942
300	404	939
301	405	936
302	406	934
303	407	932
304	408	930
305	409	928
306	409	925
307	410	922
308	411	920
309	412	917
310	413	915
311	413	912
312	414	910
313	415	908
314	416	906
315	417	903
316	418	901
317	419	898
318	419	896
319	420	893
320	421	891
321	422	889
322	423	887
323	424	885
324	425	883
325	426	880
326	426	878
327	427	876
328	428	874
329	429	871
330	430	869
331	431	867
332	431	864
333	432	862
334	433	860
335	433	857
336	434	854
337	435	852
338	436	850
339	437	848
340	438	847
341	439	845
342	440	842
343	440	840
344	441	838
345	442	836
346	443	833
347	444	832
348	444	829
349	445	827
350	446	825
351	447	823
352	448	821
353	448	819
354	449	817
355	450	814
356	451	813
357	452	811
358	453	809
359	454	807
360	455	805
361	455	803
362	456	801
363	457	799
364	458	797
365	459	796
366	460	794
367	461	792
368	462	790
369	462	787
370	463	786
371	464	784
372	465	782
373	466	781
374	467	779
375	468	777
376	469	775
377	470	773
378	470	771
379	471	769
380	472	767
381	473	765
382	474	763
383	483	775
384	485	774
385	486	773
386	487	772
387	488	771
388	490	770
389	492	770
390	494	769
391	496	770
392	499	771
393	501	770
394	502	769
395	503	768
396	504	766
397	506	766
398	508	766
399	510	766
400	511	764
401	513	764
402	515	763
403	515	761
404	517	759
405	518	758
406	519	756
407	520	754
408	521	753
409	522	752
410	524	750
411	525	749
412	527	749
413	528	748
414	529	746
415	530	745
416	532	744
417	534	744
418	536	743
419	537	742
420	539	742
421	540	740
422	542	739
423	544	739
424	545	738
425	547	737
426	548	735
427	549	733
428	550	732
429	551	731
430	552	729
431	553	728
432	554	726
433	555	724
434	556	722
435	557	720
436	559	720
437	560	718
438	561	717
439	562	716
440	563	714
441	564	712
442	565	711
443	566	709
444	567	707
445	568	705
446	568	703
447	569	702
448	570	700
449	571	698
450	573	697
451	574	696
452	575	694
453	576	693
454	577	691
455	578	689
456	579	688
457	579	686
458	580	684
459	581	682
460	582	680
461	582	678
462	583	676
463	584	674
464	585	673
465	585	671
466	586	669
467	587	667
468	588	666
469	589	665
470	590	663
471	592	662
472	592	660
473	593	658
474	594	657
475	595	655
476	596	653
477	597	651
478	597	650
479	598	648
480	599	646
481	600	645
482	600	643
483	601	641
